"","Name","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1","Mike Marjama",3000,-0.201,0.572,-0.228,-0.218,0.533,-2.063,2.277,4.34,0.314,0.261,0.01
"2","Mike Gerber",3000,-0.389,0.665,-0.417,-0.407,0.648,-2.505,2.575,5.079,0.288,0.304,0.012
"3","Ryan LaMarre",3000,-0.651,0.294,-0.665,-0.658,0.294,-1.474,0.835,2.309,0.285,0.172,0.005
"4","Austin Romine",3000,-0.942,0.496,-0.958,-0.955,0.494,-2.413,0.987,3.401,0.283,0.164,0.009
"5","Carson Kelly",3000,-0.692,0.471,-0.713,-0.704,0.472,-2.639,1.266,3.905,0.278,0.297,0.009
"6","Brandon Barnes",3000,-0.753,0.548,-0.778,-0.765,0.544,-2.372,1.591,3.963,0.275,0.298,0.01
"7","Dustin Fowler",3000,-0.375,0.209,-0.385,-0.38,0.211,-1.062,0.546,1.609,0.271,0.136,0.004
"8","Juan Centeno",3000,-0.929,0.552,-0.941,-0.941,0.534,-2.624,1.536,4.16,0.265,0.26,0.01
"9","Greg Allen",3000,-0.865,0.57,-0.891,-0.879,0.559,-2.529,1.56,4.089,0.259,0.16,0.01
"10","Gordon Beckham",3000,-0.576,0.499,-0.596,-0.589,0.491,-1.961,1.175,3.136,0.259,-0.007,0.009
"11","Mitch Walding",3000,-0.278,0.694,-0.297,-0.295,0.705,-2.246,2.274,4.519,0.25,0.049,0.013
"12","Elias Diaz",3000,-1.002,0.398,-1.021,-1.012,0.392,-2.194,0.462,2.656,0.249,0.024,0.007
"13","Jack Reinheimer",3000,-0.524,0.356,-0.545,-0.533,0.354,-1.576,0.957,2.534,0.248,0.054,0.006
"14","Peter O'Brien",3000,0.215,0.851,0.178,0.195,0.835,-2.926,3.781,6.708,0.247,0.307,0.016
"15","Jake Smolinski",3000,-0.619,0.601,-0.642,-0.632,0.599,-2.525,1.593,4.118,0.246,0.116,0.011
"16","Caleb Joseph",3000,-1.033,0.672,-1.055,-1.048,0.673,-2.946,1.844,4.79,0.245,0.063,0.012
"17","Eddie Rosario",3000,-0.193,0.963,-0.248,-0.217,0.985,-3.084,3.774,6.858,0.243,0.001,0.018
"18","Brian Anderson",3000,-0.446,0.575,-0.472,-0.459,0.582,-2.292,1.815,4.106,0.243,0.062,0.011
"19","Yoan Moncada",3000,-0.644,0.621,-0.669,-0.658,0.619,-2.741,2.14,4.882,0.241,0.115,0.011
"20","Colin Moran",3000,-0.354,0.667,-0.369,-0.37,0.675,-2.779,2.476,5.255,0.24,0.138,0.012
"21","Max Moroff",3000,-0.87,0.426,-0.886,-0.879,0.432,-2.212,1.088,3.3,0.24,0.202,0.008
"22","Dan Vogelbach",3000,-0.635,0.482,-0.654,-0.645,0.479,-2.266,1.79,4.056,0.239,0.148,0.009
"23","Magneuris Sierra",3000,-0.42,0.551,-0.441,-0.432,0.543,-2.014,1.727,3.741,0.236,0.025,0.01
"24","Willy Adames",3000,-0.348,0.656,-0.367,-0.362,0.645,-2.553,2.166,4.719,0.234,0.209,0.012
"25","Tommy Pham",3000,2.026,1.221,1.989,2.003,1.209,-1.614,8.6,10.214,0.232,0.224,0.022
"26","Trayce Thompson",3000,-0.5,0.589,-0.518,-0.512,0.601,-2.212,1.685,3.897,0.232,0.018,0.011
"27","Bryan Holaday",3000,-0.515,0.506,-0.535,-0.527,0.508,-2.212,1.399,3.611,0.231,-0.009,0.009
"28","Braxton Lee",3000,-0.212,0.674,-0.242,-0.225,0.656,-2.116,2.809,4.924,0.231,0.234,0.012
"29","Anthony Alford",3000,-0.674,0.389,-0.691,-0.683,0.388,-1.826,0.756,2.582,0.229,-0.05,0.007
"30","Mike Tauchman",3000,-0.8,0.517,-0.813,-0.811,0.529,-2.413,1.529,3.942,0.226,0.047,0.009
"31","Teoscar Hernandez",3000,-0.35,0.733,-0.368,-0.366,0.727,-2.894,2.446,5.34,0.221,0.168,0.013
"32","Kevin Plawecki",3000,-0.653,0.607,-0.668,-0.665,0.608,-2.72,1.787,4.507,0.221,0.18,0.011
"33","Niko Goodrum",3000,-0.644,0.434,-0.649,-0.652,0.428,-2.015,1.312,3.327,0.217,0.164,0.008
"34","Carlos Asuaje",3000,-0.76,0.684,-0.776,-0.775,0.67,-3.18,1.992,5.173,0.217,0.107,0.012
"35","Danny Jansen",3000,-0.389,0.665,-0.415,-0.4,0.654,-2.519,2.39,4.909,0.214,0.166,0.012
"36","Kyle Farmer",3000,-0.369,0.634,-0.391,-0.38,0.641,-2.391,1.885,4.277,0.214,0.024,0.012
"37","Brandon Dixon",3000,-0.397,0.681,-0.418,-0.412,0.664,-2.507,1.998,4.506,0.213,0.126,0.012
"38","Hanser Alberto",3000,-0.828,0.442,-0.839,-0.837,0.439,-2.186,1.217,3.403,0.21,0.209,0.008
"39","Jon Berti",3000,-0.395,0.68,-0.429,-0.408,0.681,-2.345,2.559,4.904,0.209,-0.046,0.012
"40","Patrick Wisdom",3000,-0.327,0.672,-0.346,-0.34,0.683,-2.265,2.059,4.324,0.208,-0.001,0.012
"41","Carlos Tocci",3000,-0.548,0.687,-0.566,-0.561,0.693,-2.746,2.32,5.066,0.208,0.125,0.013
"42","Raffy Lopez",3000,-0.784,0.46,-0.789,-0.793,0.461,-2.289,1.014,3.303,0.208,0.105,0.008
"43","Ramon Laureano",3000,-0.372,0.661,-0.394,-0.385,0.653,-2.256,2.064,4.32,0.207,0.005,0.012
