"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2018","Angels","97","99","95","84","100","102","98","100","100","98","100","99"
"2018","Orioles","100","102","96","87","105","98","100","101","103","99","101","103"
"2018","Red Sox","105","103","114","104","96","99","99","102","98","103","101","99"
"2018","White Sox","99","99","95","96","103","103","101","99","102","98","102","100"
"2018","Indians","104","102","106","85","102","100","101","102","97","102","92","101"
"2018","Tigers","100","100","98","120","100","96","99","100","104","101","105","101"
"2018","Royals","101","101","106","113","92","97","99","101","100","102","95","98"
"2018","Twins","102","102","103","103","102","98","100","102","100","101","101","102"
"2018","Yankees","101","100","95","83","112","101","101","98","102","100","105","104"
"2018","Athletics","98","99","102","108","93","98","99","100","100","100","101","98"
"2018","Mariners","95","97","94","87","100","103","99","97","102","96","104","98"
"2018","Rays","97","99","94","97","96","103","100","97","99","99","105","97"
"2018","Rangers","108","104","102","120","104","98","103","101","101","104","100","104"
"2018","Blue Jays","100","98","105","102","102","100","99","100","99","98","97","100"
"2018","Diamondbacks","102","101","99","130","99","100","102","100","98","104","101","100"
"2018","Braves","101","102","101","92","96","99","99","101","99","102","101","99"
"2018","Cubs","100","99","99","105","100","100","102","100","99","100","97","100"
"2018","Reds","102","98","100","95","108","104","103","98","100","99","102","103"
"2018","Rockies","116","109","112","135","111","96","102","106","99","105","89","107"
"2018","Marlins","95","99","96","103","90","99","100","101","99","98","95","97"
"2018","Astros","96","97","96","105","101","102","98","100","97","97","100","99"
"2018","Dodgers","96","96","100","75","101","100","94","99","100","96","104","98"
"2018","Brewers","101","98","100","94","107","102","100","99","100","100","97","102"
"2018","Nationals","102","103","103","83","100","100","101","99","103","100","97","100"
"2018","Mets","94","95","94","86","97","101","100","97","100","97","109","98"
"2018","Phillies","99","98","96","94","109","105","100","99","101","97","109","102"
"2018","Pirates","98","102","101","95","93","97","100","102","98","103","99","99"
"2018","Cardinals","98","101","100","96","95","97","98","101","101","102","102","99"
"2018","Padres","97","99","99","95","96","100","102","101","98","102","98","99"
"2018","Giants","97","101","99","120","86","99","100","101","96","99","98","95"
